Lot_ID,Part_ID,Value_0h_uA,Value_24h_uA,Value_96h_uA,Value_168h_uA,Lot_Mean_uA,Lot_Sigma_uA,Dynamic_Z_0h,Dynamic_Z_24h,Dynamic_Z_96h,Dynamic_Z_168h,Slope_0_24_uA_per_h,Slope_24_168_uA_per_h,Static_Limit_Fail,Latent_Defect_Label,Dynamic_Anomaly,Anomaly_Score,Predicted_Value_168h_uA,Predicted_Slope_0_168_uA_per_h,Drift_Flag,AI_Status
LOT-021,LOT021-P001,10.042,10.2182,10.4546,10.5841,10.245533962264153,3.5814478623645467,-0.05683007824935238,-0.0076320983341376485,0.058374726024300314,0.09453328674518752,0.007342,0.002541,0,0,0,-0.1651,10.6714,0.003746,0,🟢 Normal
LOT-021,LOT021-P002,10.6473,10.8452,11.0188,11.0911,10.245533962264153,3.5814478623645467,0.11217978124372091,0.16743676322567916,0.2159087797596253,0.23609614609259946,0.008246,0.001708,0,0,0,-0.1458,11.273,0.003724,0,🟢 Normal
LOT-021,LOT021-P003,10.9534,11.0266,11.3796,11.5004,10.245533962264153,3.5814478623645467,0.19764800855386444,0.21808666990343153,0.3166501597449231,0.35037953530541116,0.00305,0.00329,0,0,0,-0.125,11.3439,0.002324,0,🟢 Normal
LOT-021,LOT021-P004,10.2152,10.3205,10.718,10.8925,10.245533962264153,3.5814478623645467,-0.008469748389447808,0.020931768551937586,0.1319204008805297,0.1806437124310688,0.004387,0.003972,0,0,0,-0.1604,10.6961,0.002863,0,🟢 Normal
LOT-021,LOT021-P005,9.9712,10.2705,10.3765,10.5583,10.245533962264153,3.5814478623645467,-0.07659861955467144,0.006970934296769095,0.036567902917726894,0.08732949626952036,0.012471,0.001999,0,0,0,-0.1599,10.6758,0.004194,0,🟢 Normal
LOT-021,LOT021-P006,9.6513,9.995,10.2159,10.302,10.245533962264153,3.5814478623645467,-0.165920037119241,-0.06995326244921121,-0.008274296709875404,0.01576625987752527,0.014321,0.002132,0,0,0,-0.1508,10.4651,0.004844,0,🟢 Normal
LOT-021,LOT021-P007,9.4206,9.5599,9.8489,9.9637,10.245533962264153,3.5814478623645467,-0.23033532637258997,-0.1914404421376896,-0.11074682014281408,-0.07869274469294683,0.005804,0.002804,0,0,0,-0.1591,9.9664,0.003249,0,🟢 Normal
LOT-021,LOT021-P008,9.8468,10.0226,10.2743,10.4397,10.245533962264153,3.5814478623645467,-0.11133317518153128,-0.06224688194035764,0.00803195770016193,0.05421439741626028,0.007325,0.002897,0,0,0,-0.1671,10.3716,0.003124,0,🟢 Normal
LOT-021,LOT021-P009,8.6338,8.7756,9.1166,9.4108,10.245533962264153,3.5814478623645467,-0.45002301421192586,-0.41043008826426725,-0.31521719864401626,-0.23307164988660312,0.005908,0.004411,0,0,0,-0.0861,9.1102,0.002836,0,🟢 Normal
LOT-021,LOT021-P010,9.3787,9.5699,9.83,10.017,10.245533962264153,3.5814478623645467,-0.24203450547842142,-0.1886482752866559,-0.11602401549126798,-0.06381049537693687,0.007967,0.003105,0,0,0,-0.1594,10.047,0.003978,0,🟢 Normal
LOT-021,LOT021-P011,10.0946,10.1502,10.3972,10.4123,10.245533962264153,3.5814478623645467,-0.042143280612914814,-0.026618832921167096,0.04234768829936669,0.04656386024442776,0.002317,0.00182,0,0,0,-0.1556,10.5794,0.002886,0,🟢 Normal
LOT-021,LOT021-P012,10.3532,10.4712,10.7562,11.0134,10.245533962264153,3.5814478623645467,0.030062154154818024,0.06300972299701646,0.1425864782514786,0.21440100966006712,0.004917,0.003765,0,0,0,-0.1564,10.8866,0.003175,0,🟢 Normal
LOT-021,LOT021-P013,10.0906,10.3094,10.5306,10.7668,10.245533962264153,3.5814478623645467,-0.0432601473533282,0.017832463347290394,0.07959519409215701,0.14554617511357443,0.009117,0.003176,0,0,0,-0.1651,10.7123,0.003701,0,🟢 Normal
LOT-021,LOT021-P014,10.2071,10.3547,10.6307,10.8383,10.245533962264153,3.5814478623645467,-0.01073140353878484,0.030480979182473104,0.10754478427100476,0.1655101680984659,0.00615,0.003358,0,0,0,-0.1643,10.877,0.003988,0,🟢 Normal
LOT-021,LOT021-P015,9.9269,10.0701,10.38,10.6002,10.245533962264153,3.5814478623645467,-0.08896791870475093,-0.048984089397947454,0.03754516131558891,0.09902867537535182,0.005967,0.003681,0,0,0,-0.1662,10.4689,0.003226,0,🟢 Normal
LOT-021,LOT021-P016,9.7462,9.9511,10.1822,10.44,10.245533962264153,3.5814478623645467,-0.1394223737029309,-0.0822108749252491,-0.017683898997859063,0.0542981624217911,0.008538,0.003395,0,0,0,-0.1674,10.4634,0.004269,0,🟢 Normal
LOT-021,LOT021-P017,10.5879,10.8507,11.1712,11.5066,10.245533962264153,3.5814478623645467,0.09559431014858036,0.1689724549937476,0.25846140256937983,0.352110678753052,0.01095,0.004555,0,0,0,-0.142,11.292,0.004191,0,🟢 Normal
LOT-021,LOT021-P018,9.9825,10.1944,10.5712,10.7214,10.245533962264153,3.5814478623645467,-0.0734434710130032,-0.01427745543959788,0.09093139150735394,0.13286973760988094,0.008829,0.00366,0,0,0,-0.1653,10.7323,0.004463,0,🟢 Normal
LOT-021,LOT021-P019,9.7754,9.9195,10.2465,10.533,10.245533962264153,3.5814478623645467,-0.13126924649791247,-0.09103412217451605,0.00026973385428782193,0.08026531413640504,0.006004,0.00426,0,0,0,-0.1672,10.2601,0.002885,0,🟢 Normal
LOT-021,LOT021-P020,9.4255,9.533,9.7986,9.9968,10.245533962264153,3.5814478623645467,-0.22896716461558364,-0.19895137096697074,-0.12479141940351388,-0.06945067241602482,0.004479,0.003221,0,0,0,-0.1562,9.9578,0.003168,0,🟢 Normal
LOT-021,LOT021-P021,10.6866,10.8614,11.1312,11.4428,10.245533962264153,3.5814478623645467,0.1231529969682838,0.17196007352435372,0.24729273516524453,0.3342966542434565,0.007283,0.004038,0,0,0,-0.1435,11.3316,0.003839,0,🟢 Normal
LOT-021,LOT021-P022,9.1988,9.4402,9.6341,9.7658,10.245533962264153,3.5814478623645467,-0.2922655871285187,-0.22486267934456364,-0.17072256410301928,-0.1339497266749046,0.010058,0.002261,0,0,0,-0.1496,9.9071,0.004216,0,🟢 Normal
LOT-021,LOT021-P023,9.2994,9.4337,9.6993,9.8736,10.245533962264153,3.5814478623645467,-0.2641763886071191,-0.22667758779773584,-0.15251763623427944,-0.10385016802076089,0.005596,0.003055,0,0,0,-0.1522,9.9561,0.003909,0,🟢 Normal
LOT-021,LOT021-P024,10.4992,10.7008,11.0439,11.3552,10.245533962264153,3.5814478623645467,0.07082779017991112,0.12711787389675142,0.22291711855572008,0.3098372726284008,0.0084,0.004544,0,0,0,-0.151,11.1031,0.003595,0,🟢 Normal
